level_0,index,device_id,direction,flow_status,speed,volume,occupancy
0,2024-08-01 00:00:00-04,15163.5,SB,1,72.06,94,2.85
1,2024-08-01 00:05:00-04,15163.5,SB,1,73.23,83,1.91
2,2024-08-01 00:10:00-04,15163.5,SB,1,73.79,80,2.02
3,2024-08-01 00:15:00-04,15163.5,SB,1,71.41,94,2.25
4,2024-08-01 00:20:00-04,15163.5,SB,1,70.5,95,3.01
5,2024-08-01 00:25:00-04,15163.5,SB,1,73.67,73,2.18
6,2024-08-01 00:30:00-04,15163.5,SB,1,72.51,89,2.35
7,2024-08-01 00:35:00-04,15163.5,SB,1,71.38,78,2.4
8,2024-08-01 00:40:00-04,15163.5,SB,1,72.71,71,2.02
9,2024-08-01 00:45:00-04,15163.5,SB,1,72.2,77,2.01
10,2024-08-01 00:50:00-04,15163.5,SB,1,71.19,76,2.56
11,2024-08-01 00:55:00-04,15163.5,SB,1,73.56,58,2.25
12,2024-08-01 01:00:00-04,15163.5,SB,1,72.81,63,2.32
13,2024-08-01 01:05:00-04,15163.5,SB,1,72.3,68,2.42
14,2024-08-01 01:10:00-04,15163.5,SB,1,73.39,61,1.61
15,2024-08-01 01:15:00-04,15163.5,SB,1,68.93,62,2.1
16,2024-08-01 01:20:00-04,15163.5,SB,1,70.99,55,1.91
17,2024-08-01 01:25:00-04,15163.5,SB,1,71.57,45,1.58
18,2024-08-01 01:30:00-04,15163.5,SB,1,72.34,65,2.37
19,2024-08-01 01:35:00-04,15163.5,SB,1,71.1,58,2.08
20,2024-08-01 01:40:00-04,15163.5,SB,1,72.52,60,1.72
21,2024-08-01 01:45:00-04,15163.5,SB,1,72.2,66,2.38
22,2024-08-01 01:50:00-04,15163.5,SB,1,70.08,45,1.89
23,2024-08-01 01:55:00-04,15163.5,SB,1,71.93,46,1.86
24,2024-08-01 02:00:00-04,15163.5,SB,1,74.56,45,1.5
25,2024-08-01 02:05:00-04,15163.5,SB,1,71.91,53,2.04
26,2024-08-01 02:10:00-04,15163.5,SB,1,72.15,66,2.46
27,2024-08-01 02:15:00-04,15163.5,SB,1,70.73,52,2.32
28,2024-08-01 02:20:00-04,15163.5,SB,1,69.55,56,2.76
29,2024-08-01 02:25:00-04,15163.5,SB,1,72.59,66,2.43
30,2024-08-01 02:30:00-04,15163.5,SB,1,73.82,63,2.66
31,2024-08-01 02:35:00-04,15163.5,SB,1,71.41,48,2.67
32,2024-08-01 02:40:00-04,15163.5,SB,1,73.19,47,2.36
33,2024-08-01 02:45:00-04,15163.5,SB,1,71.13,40,2.07
34,2024-08-01 02:50:00-04,15163.5,SB,1,70.94,50,1.74
35,2024-08-01 02:55:00-04,15163.5,SB,1,70.37,54,3.06
36,2024-08-01 03:00:00-04,15163.5,SB,1,71.0,46,1.82
37,2024-08-01 03:05:00-04,15163.5,SB,1,72.26,50,2.08
38,2024-08-01 03:10:00-04,15163.5,SB,1,71.23,42,2.11
39,2024-08-01 03:15:00-04,15163.5,SB,1,69.87,56,2.51
40,2024-08-01 03:20:00-04,15163.5,SB,1,68.78,62,2.59
41,2024-08-01 03:25:00-04,15163.5,SB,1,72.35,56,2.19
42,2024-08-01 03:30:00-04,15163.5,SB,1,69.3,53,2.45
43,2024-08-01 03:35:00-04,15163.5,SB,1,71.81,67,1.68
44,2024-08-01 03:40:00-04,15163.5,SB,1,70.05,64,2.63
45,2024-08-01 03:45:00-04,15163.5,SB,1,70.39,65,2.52
46,2024-08-01 03:50:00-04,15163.5,SB,1,70.73,74,2.84
