level_0,index,device_id,direction,flow_status,speed,volume,occupancy
0,2024-08-01 00:00:00-04,8923.1,NB,1,74.61,42,1.77
1,2024-08-01 00:05:00-04,8923.1,NB,1,74.1,38,1.54
2,2024-08-01 00:10:00-04,8923.1,NB,1,71.83,37,1.46
3,2024-08-01 00:15:00-04,8923.1,NB,1,70.97,35,1.22
4,2024-08-01 00:20:00-04,8923.1,NB,1,73.5,28,0.97
5,2024-08-01 00:25:00-04,8923.1,NB,1,74.36,31,1.12
6,2024-08-01 00:30:00-04,8923.1,NB,1,71.2,33,1.4
7,2024-08-01 00:35:00-04,8923.1,NB,1,68.25,25,1.15
8,2024-08-01 00:40:00-04,8923.1,NB,1,73.55,27,1.12
9,2024-08-01 00:45:00-04,8923.1,NB,1,74.95,27,0.93
10,2024-08-01 00:50:00-04,8923.1,NB,1,75.52,25,1.26
11,2024-08-01 00:55:00-04,8923.1,NB,1,72.8,43,1.83
12,2024-08-01 01:00:00-04,8923.1,NB,1,71.48,23,0.99
13,2024-08-01 01:05:00-04,8923.1,NB,1,71.09,27,0.78
14,2024-08-01 01:10:00-04,8923.1,NB,1,73.14,32,1.51
15,2024-08-01 01:15:00-04,8923.1,NB,1,70.65,23,1.31
16,2024-08-01 01:20:00-04,8923.1,NB,1,73.48,26,0.95
17,2024-08-01 01:25:00-04,8923.1,NB,1,68.94,15,1.49
18,2024-08-01 01:30:00-04,8923.1,NB,1,69.76,19,0.92
19,2024-08-01 01:35:00-04,8923.1,NB,1,70.0,21,1.06
20,2024-08-01 01:40:00-04,8923.1,NB,1,72.83,20,0.85
21,2024-08-01 01:45:00-04,8923.1,NB,1,67.07,21,0.99
22,2024-08-01 01:50:00-04,8923.1,NB,1,71.08,33,1.56
23,2024-08-01 01:55:00-04,8923.1,NB,1,70.45,17,1.51
24,2024-08-01 02:00:00-04,8923.1,NB,1,70.86,19,1.06
25,2024-08-01 02:05:00-04,8923.1,NB,1,71.23,28,1.68
26,2024-08-01 02:10:00-04,8923.1,NB,1,71.06,21,0.9
27,2024-08-01 02:15:00-04,8923.1,NB,1,71.56,25,1.05
28,2024-08-01 02:20:00-04,8923.1,NB,1,71.35,18,0.97
29,2024-08-01 02:25:00-04,8923.1,NB,1,71.92,21,1.01
30,2024-08-01 02:30:00-04,8923.1,NB,1,71.92,32,1.64
31,2024-08-01 02:35:00-04,8923.1,NB,1,68.9,27,2.22
32,2024-08-01 02:40:00-04,8923.1,NB,1,71.67,32,1.48
33,2024-08-01 02:45:00-04,8923.1,NB,1,69.91,34,1.79
34,2024-08-01 02:50:00-04,8923.1,NB,1,74.68,31,1.53
35,2024-08-01 02:55:00-04,8923.1,NB,1,72.43,29,1.29
36,2024-08-01 03:00:00-04,8923.1,NB,1,74.33,31,1.21
37,2024-08-01 03:05:00-04,8923.1,NB,1,72.58,37,1.94
38,2024-08-01 03:10:00-04,8923.1,NB,1,70.09,28,1.54
39,2024-08-01 03:15:00-04,8923.1,NB,1,71.46,27,1.08
40,2024-08-01 03:20:00-04,8923.1,NB,1,74.04,29,1.21
41,2024-08-01 03:25:00-04,8923.1,NB,1,71.32,38,1.67
42,2024-08-01 03:30:00-04,8923.1,NB,1,77.07,32,1.15
43,2024-08-01 03:35:00-04,8923.1,NB,1,75.91,42,1.52
44,2024-08-01 03:40:00-04,8923.1,NB,1,72.99,45,2.11
45,2024-08-01 03:45:00-04,8923.1,NB,1,71.84,57,2.24
46,2024-08-01 03:50:00-04,8923.1,NB,1,72.44,42,1.87
47,2024-08-01 03:55:00-04,8923.1,NB,1,75.38,56,1.87
48,2024-08-01 04:00:00-04,8923.1,NB,1,71.97,49,2.02
49,2024-08-01 04:05:00-04,8923.1,NB,1,72.22,39,2.01
50,2024-08-01 04:10:00-04,8923.1,NB,1,72.9,49,1.94
51,2024-08-01 04:15:00-04,8923.1,NB,1,75.76,63,2.3
52,2024-08-01 04:20:00-04,8923.1,NB,1,71.5,76,2.73
53,2024-08-01 04:25:00-04,8923.1,NB,1,73.05,86,3.44
54,2024-08-01 04:30:00-04,8923.1,NB,1,73.56,61,2.1
55,2024-08-01 04:35:00-04,8923.1,NB,1,72.29,87,3.7
56,2024-08-01 04:40:00-04,8923.1,NB,1,73.51,83,3.34
57,2024-08-01 04:45:00-04,8923.1,NB,1,73.35,93,3.25
58,2024-08-01 04:50:00-04,8923.1,NB,1,75.88,100,3.09
59,2024-08-01 04:55:00-04,8923.1,NB,1,74.48,98,3.08
60,2024-08-01 05:00:00-04,8923.1,NB,1,72.7,93,3.45
61,2024-08-01 05:05:00-04,8923.1,NB,1,73.93,106,3.92
62,2024-08-01 05:10:00-04,8923.1,NB,1,75.84,107,3.49
63,2024-08-01 05:15:00-04,8923.1,NB,1,74.42,145,4.59
64,2024-08-01 05:20:00-04,8923.1,NB,1,69.68,165,5.09
65,2024-08-01 05:25:00-04,8923.1,NB,1,69.37,140,4.58
66,2024-08-01 05:30:00-04,8923.1,NB,1,73.85,164,4.69
67,2024-08-01 05:35:00-04,8923.1,NB,1,72.93,165,5.03
68,2024-08-01 05:40:00-04,8923.1,NB,1,74.55,208,6.39
69,2024-08-01 05:45:00-04,8923.1,NB,1,74.6,214,6.5
70,2024-08-01 05:50:00-04,8923.1,NB,1,75.63,238,7.04
71,2024-08-01 05:55:00-04,8923.1,NB,1,76.32,195,5.35
72,2024-08-01 06:00:00-04,8923.1,NB,1,75.72,204,5.96
73,2024-08-01 06:05:00-04,8923.1,NB,1,77.06,218,5.78
74,2024-08-01 06:10:00-04,8923.1,NB,1,74.17,251,7.53
75,2024-08-01 06:15:00-04,8923.1,NB,1,76.32,276,7.34
76,2024-08-01 06:20:00-04,8923.1,NB,1,75.35,290,7.72
77,2024-08-01 06:25:00-04,8923.1,NB,1,76.23,285,7.4
78,2024-08-01 06:30:00-04,8923.1,NB,1,73.12,341,9.55
79,2024-08-01 06:35:00-04,8923.1,NB,1,73.72,348,9.68
80,2024-08-01 06:40:00-04,8923.1,NB,1,71.6,389,11.14
81,2024-08-01 06:45:00-04,8923.1,NB,1,72.77,401,11.16
82,2024-08-01 06:50:00-04,8923.1,NB,1,73.36,336,9.17
83,2024-08-01 06:55:00-04,8923.1,NB,1,72.94,331,8.86
84,2024-08-01 07:00:00-04,8923.1,NB,1,71.81,350,9.99
85,2024-08-01 07:05:00-04,8923.1,NB,1,73.84,298,8.09
86,2024-08-01 07:10:00-04,8923.1,NB,1,71.09,357,9.97
87,2024-08-01 07:15:00-04,8923.1,NB,1,69.82,379,11.08
88,2024-08-01 07:20:00-04,8923.1,NB,1,70.98,379,10.84
89,2024-08-01 07:25:00-04,8923.1,NB,1,70.22,364,10.41
90,2024-08-01 07:30:00-04,8923.1,NB,1,69.43,410,11.91
91,2024-08-01 07:35:00-04,8923.1,NB,1,69.65,452,12.73
92,2024-08-01 07:40:00-04,8923.1,NB,1,70.69,399,11.38
93,2024-08-01 07:45:00-04,8923.1,NB,1,71.43,427,11.82
94,2024-08-01 07:50:00-04,8923.1,NB,1,70.27,390,10.91
95,2024-08-01 07:55:00-04,8923.1,NB,1,71.18,350,9.93
96,2024-08-01 08:00:00-04,8923.1,NB,1,70.74,351,10.15
97,2024-08-01 08:05:00-04,8923.1,NB,1,70.77,343,9.74
98,2024-08-01 08:10:00-04,8923.1,NB,1,72.41,328,9.29
99,2024-08-01 08:15:00-04,8923.1,NB,1,69.21,351,10.75
100,2024-08-01 08:20:00-04,8923.1,NB,1,65.38,373,11.67
101,2024-08-01 08:25:00-04,8923.1,NB,1,68.57,404,12.0
102,2024-08-01 08:30:00-04,8923.1,NB,1,68.86,363,10.89
103,2024-08-01 08:35:00-04,8923.1,NB,1,66.27,396,12.1
104,2024-08-01 08:40:00-04,8923.1,NB,1,69.2,384,11.06
105,2024-08-01 08:45:00-04,8923.1,NB,1,68.62,388,11.69
106,2024-08-01 08:50:00-04,8923.1,NB,1,67.65,357,11.0
107,2024-08-01 08:55:00-04,8923.1,NB,1,68.4,352,11.06
108,2024-08-01 09:00:00-04,8923.1,NB,1,70.12,322,9.69
109,2024-08-01 09:05:00-04,8923.1,NB,1,70.2,294,8.81
110,2024-08-01 09:10:00-04,8923.1,NB,1,68.38,348,10.77
111,2024-08-01 09:15:00-04,8923.1,NB,1,71.62,305,9.2
112,2024-08-01 09:20:00-04,8923.1,NB,1,71.96,291,8.88
113,2024-08-01 09:25:00-04,8923.1,NB,1,70.88,286,8.65
114,2024-08-01 09:30:00-04,8923.1,NB,1,70.89,304,8.81
115,2024-08-01 09:35:00-04,8923.1,NB,1,65.11,355,11.85
116,2024-08-01 09:40:00-04,8923.1,NB,1,67.32,302,10.01
117,2024-08-01 09:45:00-04,8923.1,NB,1,67.38,338,10.38
118,2024-08-01 09:50:00-04,8923.1,NB,1,68.43,344,11.24
119,2024-08-01 09:55:00-04,8923.1,NB,1,68.08,308,9.32
120,2024-08-01 10:00:00-04,8923.1,NB,1,68.08,303,9.82
121,2024-08-01 10:05:00-04,8923.1,NB,1,67.79,277,9.12
122,2024-08-01 10:10:00-04,8923.1,NB,1,65.97,329,10.98
123,2024-08-01 10:15:00-04,8923.1,NB,1,66.67,306,9.58
124,2024-08-01 10:20:00-04,8923.1,NB,1,69.86,263,8.04
125,2024-08-01 10:25:00-04,8923.1,NB,1,67.66,323,10.4
126,2024-08-01 10:30:00-04,8923.1,NB,1,68.46,297,9.62
127,2024-08-01 10:35:00-04,8923.1,NB,1,65.59,363,11.68
128,2024-08-01 10:40:00-04,8923.1,NB,1,65.91,324,10.16
129,2024-08-01 10:45:00-04,8923.1,NB,1,66.88,286,9.67
130,2024-08-01 10:50:00-04,8923.1,NB,1,66.65,340,11.49
131,2024-08-01 10:55:00-04,8923.1,NB,1,67.23,301,9.66
132,2024-08-01 11:00:00-04,8923.1,NB,1,66.94,282,9.48
133,2024-08-01 11:05:00-04,8923.1,NB,1,67.46,332,10.56
134,2024-08-01 11:10:00-04,8923.1,NB,1,66.32,307,10.0
135,2024-08-01 11:15:00-04,8923.1,NB,1,68.98,260,8.43
136,2024-08-01 11:20:00-04,8923.1,NB,1,66.17,329,11.15
137,2024-08-01 11:25:00-04,8923.1,NB,1,67.44,271,8.74
138,2024-08-01 11:30:00-04,8923.1,NB,1,65.7,347,11.37
139,2024-08-01 11:35:00-04,8923.1,NB,1,68.49,315,9.77
140,2024-08-01 11:40:00-04,8923.1,NB,1,66.59,315,10.56
141,2024-08-01 11:45:00-04,8923.1,NB,1,66.57,319,11.0
142,2024-08-01 11:50:00-04,8923.1,NB,1,63.56,317,10.62
143,2024-08-01 11:55:00-04,8923.1,NB,1,65.97,348,11.77
144,2024-08-01 12:00:00-04,8923.1,NB,1,68.68,305,9.8
145,2024-08-01 12:05:00-04,8923.1,NB,1,69.81,288,8.55
146,2024-08-01 12:10:00-04,8923.1,NB,1,69.11,284,9.04
147,2024-08-01 12:15:00-04,8923.1,NB,1,68.79,320,10.17
148,2024-08-01 12:20:00-04,8923.1,NB,1,70.81,290,8.6
149,2024-08-01 12:25:00-04,8923.1,NB,1,70.53,312,9.67
150,2024-08-01 12:30:00-04,8923.1,NB,1,69.85,283,9.08
151,2024-08-01 12:35:00-04,8923.1,NB,1,70.89,303,9.12
152,2024-08-01 12:40:00-04,8923.1,NB,1,70.34,310,9.53
153,2024-08-01 12:45:00-04,8923.1,NB,1,72.23,276,7.88
154,2024-08-01 12:50:00-04,8923.1,NB,1,70.95,294,8.79
155,2024-08-01 12:55:00-04,8923.1,NB,1,68.41,354,11.42
156,2024-08-01 13:00:00-04,8923.1,NB,1,70.96,326,9.83
157,2024-08-01 13:05:00-04,8923.1,NB,1,70.17,284,8.46
158,2024-08-01 13:10:00-04,8923.1,NB,1,69.97,289,9.08
159,2024-08-01 13:15:00-04,8923.1,NB,1,71.5,261,8.07
160,2024-08-01 13:20:00-04,8923.1,NB,1,71.45,284,8.43
161,2024-08-01 13:25:00-04,8923.1,NB,1,68.96,294,9.01
162,2024-08-01 13:30:00-04,8923.1,NB,1,68.17,331,10.4
163,2024-08-01 13:35:00-04,8923.1,NB,1,70.02,340,10.1
164,2024-08-01 13:40:00-04,8923.1,NB,1,70.79,284,8.57
165,2024-08-01 13:45:00-04,8923.1,NB,1,68.57,330,10.31
166,2024-08-01 13:50:00-04,8923.1,NB,1,64.11,309,11.4
167,2024-08-01 13:55:00-04,8923.1,NB,1,69.48,284,8.98
168,2024-08-01 14:00:00-04,8923.1,NB,1,68.85,333,10.28
169,2024-08-01 14:05:00-04,8923.1,NB,1,70.46,270,8.15
170,2024-08-01 14:10:00-04,8923.1,NB,1,68.64,331,10.22
171,2024-08-01 14:15:00-04,8923.1,NB,1,68.35,293,8.8
172,2024-08-01 14:20:00-04,8923.1,NB,1,70.11,324,9.79
173,2024-08-01 14:25:00-04,8923.1,NB,1,68.61,323,10.15
174,2024-08-01 14:30:00-04,8923.1,NB,1,70.56,293,9.02
175,2024-08-01 14:35:00-04,8923.1,NB,1,71.45,309,8.9
176,2024-08-01 14:40:00-04,8923.1,NB,1,68.85,284,8.94
177,2024-08-01 14:45:00-04,8923.1,NB,1,67.68,336,10.38
178,2024-08-01 14:50:00-04,8923.1,NB,1,70.49,334,10.25
179,2024-08-01 14:55:00-04,8923.1,NB,1,70.98,308,9.37
180,2024-08-01 15:00:00-04,8923.1,NB,1,70.97,289,8.91
181,2024-08-01 15:05:00-04,8923.1,NB,1,69.13,300,9.32
182,2024-08-01 15:10:00-04,8923.1,NB,1,70.68,288,8.67
183,2024-08-01 15:15:00-04,8923.1,NB,1,71.19,295,8.82
184,2024-08-01 15:20:00-04,8923.1,NB,1,70.26,326,9.97
185,2024-08-01 15:25:00-04,8923.1,NB,1,69.36,358,11.22
186,2024-08-01 15:30:00-04,8923.1,NB,1,71.77,320,9.48
187,2024-08-01 15:35:00-04,8923.1,NB,1,71.12,300,8.48
188,2024-08-01 15:40:00-04,8923.1,NB,1,68.88,351,10.57
189,2024-08-01 15:45:00-04,8923.1,NB,1,71.7,296,8.85
190,2024-08-01 15:50:00-04,8923.1,NB,1,71.2,278,8.25
191,2024-08-01 15:55:00-04,8923.1,NB,1,71.21,327,10.0
192,2024-08-01 16:00:00-04,8923.1,NB,1,70.01,311,10.07
193,2024-08-01 16:05:00-04,8923.1,NB,1,69.88,320,9.8
194,2024-08-01 16:10:00-04,8923.1,NB,1,71.3,260,7.98
195,2024-08-01 16:15:00-04,8923.1,NB,1,71.64,280,8.26
196,2024-08-01 16:20:00-04,8923.1,NB,1,73.02,276,7.67
197,2024-08-01 16:25:00-04,8923.1,NB,1,72.38,314,9.35
198,2024-08-01 16:30:00-04,8923.1,NB,1,70.46,290,8.12
199,2024-08-01 16:35:00-04,8923.1,NB,1,68.96,320,9.94
200,2024-08-01 16:40:00-04,8923.1,NB,1,71.31,292,8.4
201,2024-08-01 16:45:00-04,8923.1,NB,1,70.34,320,9.56
202,2024-08-01 16:50:00-04,8923.1,NB,1,69.74,331,9.8
203,2024-08-01 16:55:00-04,8923.1,NB,1,69.84,323,9.93
204,2024-08-01 17:00:00-04,8923.1,NB,1,70.27,332,9.59
205,2024-08-01 17:05:00-04,8923.1,NB,1,69.03,315,9.56
206,2024-08-01 17:10:00-04,8923.1,NB,1,71.89,266,7.99
207,2024-08-01 17:15:00-04,8923.1,NB,1,71.95,309,8.68
208,2024-08-01 17:20:00-04,8923.1,NB,1,71.63,280,7.78
209,2024-08-01 17:25:00-04,8923.1,NB,1,71.71,328,9.48
210,2024-08-01 17:30:00-04,8923.1,NB,1,73.01,342,9.26
211,2024-08-01 17:35:00-04,8923.1,NB,1,71.31,328,9.25
212,2024-08-01 17:40:00-04,8923.1,NB,1,71.46,330,9.76
213,2024-08-01 17:45:00-04,8923.1,NB,1,71.85,312,8.89
214,2024-08-01 17:50:00-04,8923.1,NB,1,72.79,287,8.61
215,2024-08-01 17:55:00-04,8923.1,NB,1,71.15,265,8.01
216,2024-08-01 18:00:00-04,8923.1,NB,1,69.47,339,10.15
217,2024-08-01 18:05:00-04,8923.1,NB,1,73.19,276,7.65
218,2024-08-01 18:10:00-04,8923.1,NB,1,71.9,278,8.17
219,2024-08-01 18:15:00-04,8923.1,NB,1,72.78,263,7.16
220,2024-08-01 18:20:00-04,8923.1,NB,1,72.26,295,8.67
221,2024-08-01 18:25:00-04,8923.1,NB,1,71.65,286,8.35
222,2024-08-01 18:30:00-04,8923.1,NB,1,71.59,300,9.03
223,2024-08-01 18:35:00-04,8923.1,NB,1,72.23,286,8.11
224,2024-08-01 18:40:00-04,8923.1,NB,1,72.99,274,7.84
225,2024-08-01 18:45:00-04,8923.1,NB,1,71.68,290,8.85
226,2024-08-01 18:50:00-04,8923.1,NB,1,73.51,269,7.49
227,2024-08-01 18:55:00-04,8923.1,NB,1,73.53,269,7.25
228,2024-08-01 19:00:00-04,8923.1,NB,1,73.14,243,7.24
229,2024-08-01 19:05:00-04,8923.1,NB,1,73.82,249,6.74
230,2024-08-01 19:10:00-04,8923.1,NB,1,73.38,232,6.76
231,2024-08-01 19:15:00-04,8923.1,NB,1,72.73,234,6.96
232,2024-08-01 19:20:00-04,8923.1,NB,1,69.49,286,8.92
233,2024-08-01 19:25:00-04,8923.1,NB,1,72.72,244,7.06
234,2024-08-01 19:30:00-04,8923.1,NB,1,73.38,252,7.47
235,2024-08-01 19:35:00-04,8923.1,NB,1,73.95,226,6.55
236,2024-08-01 19:40:00-04,8923.1,NB,1,73.13,224,6.71
237,2024-08-01 19:45:00-04,8923.1,NB,1,73.32,212,6.07
238,2024-08-01 19:50:00-04,8923.1,NB,1,72.11,210,6.56
239,2024-08-01 19:55:00-04,8923.1,NB,1,75.35,197,5.68
240,2024-08-01 20:00:00-04,8923.1,NB,1,74.45,216,6.34
241,2024-08-01 20:05:00-04,8923.1,NB,1,72.47,191,5.69
242,2024-08-01 20:10:00-04,8923.1,NB,1,74.97,181,5.07
243,2024-08-01 20:15:00-04,8923.1,NB,1,74.77,189,5.52
244,2024-08-01 20:20:00-04,8923.1,NB,1,74.55,180,5.13
245,2024-08-01 20:25:00-04,8923.1,NB,1,75.37,163,4.56
246,2024-08-01 20:30:00-04,8923.1,NB,1,73.15,151,4.52
247,2024-08-01 20:35:00-04,8923.1,NB,1,73.7,152,4.38
