Date,Permit,Dir,Volume,Avg Speed,Occupancy %,Record Count,Full Name,Device ID,Created,Retired
2024-08-01 00:00:00-04,ND0012,S,115,58.99,3.41%,20,ND0012 - I95 1/2M NORTH OF RT896 {SOLAR},14207.5,2020-03-12 09:08:40-04,
2024-08-01 00:05:00-04,ND0012,S,86,57.93,2.86%,20,ND0012 - I95 1/2M NORTH OF RT896 {SOLAR},14207.5,2020-03-12 09:08:40-04,
2024-08-01 00:10:00-04,ND0012,S,93,60.00,2.81%,19,ND0012 - I95 1/2M NORTH OF RT896 {SOLAR},14207.5,2020-03-12 09:08:40-04,
2024-08-01 00:15:00-04,ND0012,S,88,59.78,2.80%,20,ND0012 - I95 1/2M NORTH OF RT896 {SOLAR},14207.5,2020-03-12 09:08:40-04,
2024-08-01 00:20:00-04,ND0012,S,96,57.26,3.45%,18,ND0012 - I95 1/2M NORTH OF RT896 {SOLAR},14207.5,2020-03-12 09:08:40-04,
2024-08-01 00:25:00-04,ND0012,S,65,58.32,2.61%,17,ND0012 - I95 1/2M NORTH OF RT896 {SOLAR},14207.5,2020-03-12 09:08:40-04,
2024-08-01 00:30:00-04,ND0012,S,101,59.92,3.96%,17,ND0012 - I95 1/2M NORTH OF RT896 {SOLAR},14207.5,2020-03-12 09:08:40-04,
2024-08-01 00:35:00-04,ND0012,S,65,59.82,2.31%,17,ND0012 - I95 1/2M NORTH OF RT896 {SOLAR},14207.5,2020-03-12 09:08:40-04,
2024-08-01 00:40:00-04,ND0012,S,76,60.33,2.82%,18,ND0012 - I95 1/2M NORTH OF RT896 {SOLAR},14207.5,2020-03-12 09:08:40-04,
2024-08-01 00:45:00-04,ND0012,S,70,58.40,2.34%,17,ND0012 - I95 1/2M NORTH OF RT896 {SOLAR},14207.5,2020-03-12 09:08:40-04,
2024-08-01 00:50:00-04,ND0012,S,76,58.96,2.79%,18,ND0012 - I95 1/2M NORTH OF RT896 {SOLAR},14207.5,2020-03-12 09:08:40-04,
