Date,Permit,Dir,Volume,Avg Speed,Occupancy %,Record Count,Full Name,Device ID,Created,Retired
2024-08-01 00:00:00-04,ND0036,N,46,54.79,2.05%,3,ND0036 - DE1 AT DE273,8913.1,2015-05-18 13:03:57-04,
2024-08-01 00:05:00-04,ND0036,N,41,58.13,1.81%,3,ND0036 - DE1 AT DE273,8913.1,2015-05-18 13:03:57-04,
2024-08-01 00:10:00-04,ND0036,N,30,57.83,1.35%,3,ND0036 - DE1 AT DE273,8913.1,2015-05-18 13:03:57-04,
2024-08-01 00:15:00-04,ND0036,N,45,55.82,1.95%,3,ND0036 - DE1 AT DE273,8913.1,2015-05-18 13:03:57-04,
2024-08-01 00:20:00-04,ND0036,N,39,56.50,1.79%,3,ND0036 - DE1 AT DE273,8913.1,2015-05-18 13:03:57-04,
2024-08-01 00:25:00-04,ND0036,N,42,53.22,1.96%,3,ND0036 - DE1 AT DE273,8913.1,2015-05-18 13:03:57-04,
2024-08-01 00:30:00-04,ND0036,N,33,53.15,1.42%,3,ND0036 - DE1 AT DE273,8913.1,2015-05-18 13:03:57-04,
2024-08-01 00:35:00-04,ND0036,N,38,54.15,1.80%,3,ND0036 - DE1 AT DE273,8913.1,2015-05-18 13:03:57-04,
2024-08-01 00:40:00-04,ND0036,N,35,55.70,1.66%,3,ND0036 - DE1 AT DE273,8913.1,2015-05-18 13:03:57-04,
2024-08-01 00:45:00-04,ND0036,N,28,61.07,1.36%,3,ND0036 - DE1 AT DE273,8913.1,2015-05-18 13:03:57-04,
2024-08-01 00:50:00-04,ND0036,N,23,59.99,1.21%,3,ND0036 - DE1 AT DE273,8913.1,2015-05-18 13:03:57-04,
2024-08-01 00:55:00-04,ND0036,N,25,60.82,1.17%,3,ND0036 - DE1 AT DE273,8913.1,2015-05-18 13:03:57-04,
2024-08-01 01:00:00-04,ND0036,N,30,60.81,2.27%,2,ND0036 - DE1 AT DE273,8913.1,2015-05-18 13:03:57-04,
2024-08-01 01:05:00-04,ND0036,N,27,54.86,1.35%,3,ND0036 - DE1 AT DE273,8913.1,2015-05-18 13:03:57-04,
2024-08-01 01:10:00-04,ND0036,N,20,47.38,1.09%,3,ND0036 - DE1 AT DE273,8913.1,2015-05-18 13:03:57-04,
