level_0,index,device_id,direction,flow_status,speed,volume,occupancy
0,2024-08-01 00:00:00-04,8923.5,SB,1,73.14,84,2.7
1,2024-08-01 00:05:00-04,8923.5,SB,1,68.59,65,2.26
2,2024-08-01 00:10:00-04,8923.5,SB,1,64.58,79,2.82
3,2024-08-01 00:15:00-04,8923.5,SB,1,72.52,53,1.79
4,2024-08-01 00:20:00-04,8923.5,SB,1,77.49,63,1.96
5,2024-08-01 00:25:00-04,8923.5,SB,1,73.76,59,1.79
6,2024-08-01 00:30:00-04,8923.5,SB,1,74.7,78,2.57
7,2024-08-01 00:35:00-04,8923.5,SB,1,73.39,57,1.96
8,2024-08-01 00:40:00-04,8923.5,SB,1,72.65,62,1.99
9,2024-08-01 00:45:00-04,8923.5,SB,1,74.41,67,2.19
10,2024-08-01 00:50:00-04,8923.5,SB,1,73.27,64,2.25
11,2024-08-01 00:55:00-04,8923.5,SB,1,75.41,44,1.35
12,2024-08-01 01:00:00-04,8923.5,SB,1,72.45,43,1.57
13,2024-08-01 01:05:00-04,8923.5,SB,1,74.63,30,1.44
14,2024-08-01 01:10:00-04,8923.5,SB,1,72.9,45,1.54
15,2024-08-01 01:15:00-04,8923.5,SB,1,75.29,38,1.24
16,2024-08-01 01:20:00-04,8923.5,SB,1,74.19,31,1.02
17,2024-08-01 01:25:00-04,8923.5,SB,1,71.46,39,1.36
18,2024-08-01 01:30:00-04,8923.5,SB,1,73.34,36,1.44
19,2024-08-01 01:35:00-04,8923.5,SB,1,73.81,31,1.2
20,2024-08-01 01:40:00-04,8923.5,SB,1,75.1,25,0.8
21,2024-08-01 01:45:00-04,8923.5,SB,1,75.68,27,1.0
22,2024-08-01 01:50:00-04,8923.5,SB,1,72.97,27,1.14
23,2024-08-01 01:55:00-04,8923.5,SB,1,73.43,24,0.89
24,2024-08-01 02:00:00-04,8923.5,SB,1,73.95,27,0.88
25,2024-08-01 02:05:00-04,8923.5,SB,1,73.08,29,1.62
26,2024-08-01 02:10:00-04,8923.5,SB,1,70.86,27,1.26
27,2024-08-01 02:15:00-04,8923.5,SB,1,69.39,27,1.1
28,2024-08-01 02:20:00-04,8923.5,SB,1,73.4,28,1.21
29,2024-08-01 02:25:00-04,8923.5,SB,1,72.0,25,0.87
30,2024-08-01 02:30:00-04,8923.5,SB,1,69.59,26,1.35
31,2024-08-01 02:35:00-04,8923.5,SB,1,73.46,16,0.65
32,2024-08-01 02:40:00-04,8923.5,SB,1,73.45,15,0.54
33,2024-08-01 02:45:00-04,8923.5,SB,1,71.75,33,1.42
34,2024-08-01 02:50:00-04,8923.5,SB,1,69.47,26,1.09
35,2024-08-01 02:55:00-04,8923.5,SB,1,75.54,26,1.02
36,2024-08-01 03:00:00-04,8923.5,SB,1,74.58,27,0.91
37,2024-08-01 03:05:00-04,8923.5,SB,1,70.96,25,1.65
38,2024-08-01 03:10:00-04,8923.5,SB,1,73.02,30,1.13
39,2024-08-01 03:15:00-04,8923.5,SB,1,72.89,38,1.7
40,2024-08-01 03:20:00-04,8923.5,SB,1,74.49,32,1.44
41,2024-08-01 03:25:00-04,8923.5,SB,1,72.11,24,0.99
42,2024-08-01 03:30:00-04,8923.5,SB,1,72.5,31,1.14
43,2024-08-01 03:35:00-04,8923.5,SB,1,66.81,21,0.89
44,2024-08-01 03:40:00-04,8923.5,SB,1,70.93,35,1.78
