level_0,index,device_id,direction,flow_status,speed,volume,occupancy
0,2024-08-01 00:00:00-04,12594.1,NB,1,65.77,6,0.88
1,2024-08-01 00:05:00-04,12594.1,NB,1,77.71,4,0.24
2,2024-08-01 00:10:00-04,12594.1,NB,1,71.9,5,0.18
3,2024-08-01 00:15:00-04,12594.1,NB,1,66.42,8,0.69
4,2024-08-01 00:20:00-04,12594.1,NB,1,66.43,6,1.16
5,2024-08-01 00:25:00-04,12594.1,NB,1,64.54,4,0.89
6,2024-08-01 00:30:00-04,12594.1,NB,1,60.64,3,0.37
7,2024-08-01 00:35:00-04,12594.1,NB,1,71.13,1,0.26
8,2024-08-01 00:40:00-04,12594.1,NB,1,69.24,8,1.37
9,2024-08-01 00:45:00-04,12594.1,NB,1,67.42,6,1.27
10,2024-08-01 00:50:00-04,12594.1,NB,1,64.28,4,1.19
11,2024-08-01 00:55:00-04,12594.1,NB,1,69.75,3,0.29
12,2024-08-01 01:00:00-04,12594.1,NB,1,71.27,5,0.38
13,2024-08-01 01:05:00-04,12594.1,NB,1,60.91,3,0.7
14,2024-08-01 01:10:00-04,12594.1,NB,1,68.25,8,1.78
15,2024-08-01 01:15:00-04,12594.1,NB,1,75.2,5,0.45
16,2024-08-01 01:20:00-04,12594.1,NB,1,73.18,1,0.27
17,2024-08-01 01:25:00-04,12594.1,NB,1,63.57,3,0.48
18,2024-08-01 01:30:00-04,12594.1,NB,1,61.64,3,1.01
19,2024-08-01 01:35:00-04,12594.1,NB,1,76.14,1,0.24
20,2024-08-01 01:40:00-04,12594.1,NB,1,66.89,2,0.34
21,2024-08-01 01:45:00-04,12594.1,NB,1,63.44,4,0.51
22,2024-08-01 01:50:00-04,12594.1,NB,1,67.47,5,0.63
23,2024-08-01 01:55:00-04,12594.1,NB,1,74.07,7,1.72
24,2024-08-01 02:00:00-04,12594.1,NB,1,72.66,3,0.79
25,2024-08-01 02:05:00-04,12594.1,NB,1,75.52,1,0.28
26,2024-08-01 02:10:00-04,12594.1,NB,1,68.45,5,1.16
27,2024-08-01 02:15:00-04,12594.1,NB,1,69.92,2,0.53
28,2024-08-01 02:20:00-04,12594.1,NB,1,66.08,3,0.39
29,2024-08-01 02:25:00-04,12594.1,NB,1,65.24,6,1.77
30,2024-08-01 02:30:00-04,12594.1,NB,1,70.1,6,1.45
